channel,title,publishDate,duration,views,watchHours,subscribers,impressions,ctr,retention,type,videoId
Uchtdorf,Connecting the Dots: How Jesus Christ Reveals Purpose in Our Trials,2025-08-31T06:00:00.000Z,397,35301,2142.5624,5531,489804,4.5,55.04,Long,by8Kotg0O40
Uchtdorf,Daily Repentance and New Beginnings,2025-11-23T07:00:00.000Z,229,6356,247.4967,150,102415,4.32,61.22,Long,ref5T73O9Ns
Uchtdorf,Discipleship Requires Patience,2025-11-06T07:00:00.000Z,331,3672,176.754,64,64263,4.04,52.35,Long,ykmHPucRx3o
Uchtdorf,Fear Not! Jesus Christ Is on Your Side,2025-10-29T06:00:00.000Z,156,4414,73.1707,18,13757,6.81,66.87,Short,N6BgcuQrN00
Uchtdorf,God’s Power is For You,2025-09-10T06:00:00.000Z,143,2687,60.8114,16,14611,5.63,79.63,Short,_GpJkjAalSM
Uchtdorf,Why Jesus Christ is the Perfect Pilot,2025-09-24T06:00:00.000Z,116,4464,48.2186,24,10368,5.65,66.55,Short,kTi8aZBZOfE
Uchtdorf,The Recipe for Effective Faith,2025-10-22T06:00:00.000Z,107,3359,41.481,19,8431,4.67,70.5,Short,MlbexBy_rVA
Uchtdorf,Connecting the Dots of God’s Grand Design for Your Life,2025-12-02T07:00:00.000Z,130,2779,41.4052,8,5419,6.51,66.13,Short,_tTSEtiTUhw
Uchtdorf,Nourishing the Fire of Your Testimony,2025-11-10T07:00:00.000Z,163,2280,34.1361,6,8694,5.15,54.88,Short,P1gXCmtYQIw
Uchtdorf,Can Joy and Sorrow Coexist?,2025-12-09T07:00:00.000Z,111,2258,24.5195,7,3134,6,65.26,Short,G1nlwvrWJGg
Uchtdorf,We Are One in Christ,2025-11-19T07:00:00.000Z,89,2068,21.8426,10,6043,4.7,70.58,Short,U1jz8pIaCHI
Uchtdorf,Repentance Brings a Clear New Day,2025-11-27T07:00:00.000Z,73,1793,13.7211,3,3291,6.81,72.25,Short,F3WHjsfFkl8
Christofferson,One of God’s Most Important Gifts,2025-10-24T06:00:00.000Z,381,16227,869.2306,437,207479,5.26,50.61,Long,YxtOnDwZ1KA
Christofferson,Seeking the Kingdom First: How to Align Your Life with God’s Will,2025-08-31T06:00:00.000Z,226,15400,594.2629,763,213608,4.49,61.47,Long,tDqIfUqt4wU
Christofferson,"""Look Unto Me, and Be Ye Saved""",2025-11-11T07:00:00.000Z,208,1727,64.7299,17,22690,5.06,64.89,Long,1Vh1tixwBiI
Christofferson,A Testimony From D. Todd Christofferson,2025-10-14T06:00:00.000Z,112,4816,52.9711,51,18202,5.27,52.36,Short,vJi4Pv9Gi58
Christofferson,What it Means to Be a Witness of the Name of Christ,2025-11-05T07:00:00.000Z,177,2643,48.6537,9,13682,5.48,58.11,Short,WKvXRNbjjY0
Christofferson,What the Book of Mormon Teaches Us About Prospering in Life,2025-11-16T07:00:00.000Z,123,3328,42.9336,11,9438,6.22,70.19,Short,TCssm4mDdSw
Christofferson,How to Find Balance,2025-12-10T07:00:00.000Z,179,2269,42.7857,3,3759,5.45,62.61,Short,sPUcW1B3YTk
Christofferson,This Is Our Time to Do Our Part,2025-09-24T06:00:00.000Z,82,2798,29.0858,7,12483,5.88,65,Short,sU9Ga0KzDz8
Christofferson,3 Essential Things That Will Bless a Teenager's Life,2025-09-10T06:00:00.000Z,76,472,6.2952,0,3591,5.93,91.6,Short,fhv9ijmSDpo
Renlund,God Can Speak to Us Through Music,2025-10-10T06:00:00.000Z,98,6148,94.0232,158,44810,5.9,70.96,Short,_EE23tEp2rU
Renlund,Jesus Christ Has the Power to Make Us Holy,2025-09-22T06:00:00.000Z,85,3453,38.4615,58,16717,6.13,70.29,Short,s8n-JA5eIO8
Renlund,"You Can’t Help Everybody, But You Can Help Somebody",2025-12-07T07:00:00.000Z,180,1460,30.1713,2,7891,5.72,62.88,Short,XnEEM4445r4
Renlund,The Savior's Open Arms of Forgiveness,2025-11-23T07:00:00.000Z,85,2905,20.3731,14,8631,4.89,65.67,Short,fzwtideG1v8
Renlund,Don't Look Beyond the Mark; Focus on the Savior,2025-10-31T06:00:00.000Z,60,2540,20.0665,6,5444,5.36,85.29,Short,h2Jb1hVeSqE
Renlund,"We Go About ""Doing Good,"" as Jesus Did",2025-11-25T07:00:00.000Z,129,2465,13.9191,4,5254,5.52,56.39,Short,vopUwM38wL8
Renlund,The POWER of Combining the Savior's Gospel and His Church,2025-08-31T06:00:00.000Z,122,508,10.0543,148,6921,4.38,58.36,Short,sO_vHQHU0yI
